img_id,source,fanpage,total_react,comment_count,hashtag,raw_comment
ins_001,Instagram,CocaCola,583155,3948,#CocaCola|#AllTheFeels|#Jump|#CokePartner,"Lego 🔥|Support Yeezy!!!!|@ye ❤️❤️❤️|Free Palestine 🇵🇸 ☝️ Allahu Akbar|We are here for it 😎|We are listening too :)🔥🔥🔥|Como factura mi niño|Get ready to JUMP 🙌 Click the link in bio to pre-save this song 👀|HALA MADRID 🤍☠️|Tava ouvindo a música que fiz pra ele 😍kkkkkk|Sponsor ye at wireless to get back at Pepsi|Your chance to support mental health issues and spread awareness! 🔥Ye🔥|My mother saw and spoke with the Prophet Muhammad in her dreams three times.|Your product Coca-Cola contains an additive (Phosphoric acid) assessed as high risk on the Yuka app. Please remove it to protect consumer health. #NotInMyProduct|Your product Coca-Cola contains an additive (Phosphoric acid) assessed as high risk on the Yuka app. Please remove it to protect consumer health. #NotInMyProduct 😢|¡Hola Lamine! 👋 Me llamo Enes y soy de Albania 🇦🇱 Te mando muchos saludos y quiero decirte que eres una gran inspiración para mí ⚽🔥 El 13.04 es mi cumpleaños y me harías muy feliz si me enviaras un pequeño mensaje de ánimo para el fútbol 🙌 Sigue jugando al máximo nivel y haciéndonos disfrutar siempre 💙❤️ ¡Força Barça! 🔵🔴|Real👑🔥|Guys pls make Collab with Michael kaiser from blue lock🌹🟦|Lamine fans buttom😍 ——>|Coca cola good 👑💖✨|sama idole bi|Hi stars ✨ I’m Victoriaamina I’m 35 years old girl, am a new upcoming artist, am rapper and singer, I’m from Nigerian 🇳🇬 country, living right here in Egypt 🇪🇬 country, thank you 🙏 stars ✨|P🔥🔥🔥|El pueblo de Marruecos te quiere Lamin Yamal ❤️❤️🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦🇲🇦|Eu só digo uma coisa trás uma coca pra nois arrotar 🗣🗣|Comeback 🔥🔥🔥🔥🔥|Uuuufff uffff😍❤️|Booom! 🔥|Nombre de la canción?|Puedes practicar otro deporte además del fútbol, ​​o emprender un negocio que te genere ingresos en lugar del fútbol, ​​o jugar al fútbol con el equipo filial. No encajas en el primer equipo; estás perturbando el trabajo del equipo.|Free palestine ❤️❤️❤️❤️❤️|Your product Coca-Cola contains an additive (Phosphoric acid) assessed as high risk on the Yuka app. Please remove it to protect consumer health. #NotInMyProduct|@temper._.glass 💯|@temper._.glass 👑|😮😍 give them pliz|Tuff my g 👏👏"
ins_002,Instagram,CocaCola,12436,145,,"***New York Hornets MLS Fútbol Club🏆🌏🇷🇺 New York Hornets MLS Fútbol Club2 Toronto Yellow - Jackets MLS Fútbol Club🏆⚽️🇷🇺 Toronto Yellow - Jackets MLS Fútbol Club2 “”Black and Yellow Black and Yellow”” Eugene Starikov (786) 277 - 1791  Juventus MIAMI / Zenit St. Petersburg / Одесса Chernamoritz / Tom Tomsk / Rostov Na Danu / New York Cosmos Brazilian Pele “The Greats Squad”/ Indy Elleven & Companies И Вся Братва Наша MIAMI Florida🏆⚽️🌏** На Связи🏆🌏⚽️.|The best weekenddd, see yall next year 😍🎡❤️🪩|This is the main reason to be a fan 😍|Ayyy that’s colddd tho 🥶 @likes.this|@_cassieelaine our super star !!!! ❤️✨|Life is just better with a @cocacola 🔥❤️|those are my friends 😍😍😍😍|One of my favorite side quests 💗💗|Correct 😍🔥 @halllieberry|Real recognizes real! @halllieberry 😍🔥|@_cassieelaine is so cool|@halllieberry okay super star 🔥|TAG MEEEEEE !|@halllieberry is a VIBE|@halllieberry the queen of CocaCola ❤️❤️❤️❤️❤️❤️|I’m only drinking coke if the girl in the first pic says it’s okay|PERIODDDDDD @halllieberry|Great Day for a Coca Cola 🖤🖤🖤|AND THE FIRST PIC @halllieberry 🤩|@halllieberry REFRESHING LIKE A COCA COLA|@halllieberry you are the IT GIRL!!! 😍|That’s our girrrrrrrllllll 😍 @halllieberry|It’s the real thing yall ❤️🙌🔥|@halllieberry !!!|Okay I’ll take 5…. as long as i can get the girl in first pics #|who’s that beauty in that first pic omgggg @halllieberry|AHHH 😍🔥 @halllieberry|I wanna hang with the girlie on the first pic @halllieberry|@halllieberry wanna share a coke?!?!|Big fan of|@halllieberry ON DA COVERRRRRR PAGEEEE😍😍|Delicious|Wow❤️|CC❤️|@_cassieelaine ❤️❤️❤️|So fabb!😍😍|My dream one thing I want to go so bad and my favorite drink🥲❤️|I want that hat in photo 1 😍|I would love to get a coca cola merch package! I drink it everyday!!!❤️🤍|@_cassieelaine OUR ICONIC GIRL|Soooo litty!! 👏😍🔥🔥🔥|Hi,  My name is Lord Itamiyo, a Cameroonian artist based in Dallas, Texas. I’m currently working on my debut album “IsItTimeYet”, built on one simple but powerful motto: Walk by Faith, have Hope, and Always Love others. This music comes from real life, real struggles, and real belief. It’s for anyone who’s ever felt like they’re waiting on God’s timing, pushing forward anyway, and choosing love even when it’s hard.|Stay on your customers face 24/7 with these super cool super loud customizable boombox speakers|Collab with brawl stars|This is lit in a Can , MAKING THE BRAND 💯|@cocacola I have that hat like that that women is wearing I love @cocacola all things COCA-COLA|Let’s go @cocacola 💪💪💪💪💪|Someday 💫|Hi, I’m. Diet Coke-aholic can you please send me to CMA Fest?! Thank you ❤️😉|Let’s talk soon @realthingrecords|that desert light is hitting different right now"
ins_003,Instagram,CocaCola,6852,77,,"The sun shines very close, it's only here 🙃|@chrisbrownofficial 🔥🔥🔥🔥|fake, he just came home with a 44oz @pepsi|fire|Mmmmm making me want a crisp Diet Coke @landondecker|Can yall bring back vault? Me and thousands of people been craving one.|agua|Know What I'm Sayin|Your product Coca-Cola Zero Sugar contains additives (Potassium benzoate, Phosphoric acid, Acesulfame K, Aspartame) assessed as high risk on the Yuka app. Please remove them to protect consumer health. #NotInMyProduct|Lime mode activated ❓|Your product Coca-Cola Zero Sugar contains additives (Potassium benzoate, Phosphoric acid, Acesulfame K, Aspartame) assessed as high risk on the Yuka app. Please remove them to protect consumer health. #NotInMyProduct|@landondecker nothing like a cold one!|@landondecker did u get ur bag?|Your product Coca-Cola Zero Sugar contains additives (Potassium benzoate, Phosphoric acid, Acesulfame K, Aspartame) assessed as high risk on the Yuka app. Please remove them to protect consumer health. #NotInMyProduct|Big facts 🖤🍷|haha thanks!! #cokezero forever ❤️|As she keeps slurring my rings she does not have|Hallo company of genocide @cocacola 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂|E o Rodrigo????|Jesus is king🙏❤️|This makes me want to buy a coke!|@landondecker remember me when ur famous|John 3:16 For God so loved the world that He gave His only begotten Son(JESUS CHRIST), that whoever believes in Him should not perish but have everlasting life. John 3:17 For God did not send His Son into the world to condemn the world, but that the world through Him might be saved. John 3:18 ""He who believes in Him is not condemned; but he who does not believe is condemned already, because he has not believed in the name of the only begotten Son of God. Salvation Prayer: Dear Lord Jesus Christ thank you for loving me I believe you died for my sins and rose again for my justification today I receive and confess you as my personal Lord and saviour I am born again and I have eternal life Amen.|Lil Kmv ; approves 🥀|@landondecker this is sick|Lil Kmv; Approves 🥀|❤️❤️❤️🙌👏got a slice of lime 🍋‍🟩 for a twist? ❤️❤️❤️❤️|Listen to my song 🔥|Got a bottle today 💯|Colaboração com brawl stars por favooo|E|@rubikaytv to Mundial pls|Please reply."
ins_004,Instagram,CocaCola,87417,760,#AllTheFeels|#CocaCola|#Panini|#FIFAWorldCup,"Let the collecting begin 😎|😱😱😱 You mean the stickers are UNDER the Coke label?!?! 🔥🙌👏|Se van a robar la etiqueta,  mala idea|Sooo ready|Indians is not going to watch the fifa world cup 😔😔😔😔|Fuck i didn't check and threw my coke bottle yesterday|Is this in all Coco cola bottle?🔥|Kpop photocards better😝|@cocacolaec HÁGANLO POSIBLE POR FAVOR🙏🏽🙏🏽🙏🏽🙏🏽|I'm not buying it free Palestine|Блять а у нас в рф не будут я так понял 😭😭 если будут то стоить они будут от 500₽ да и пофиг а бы купил|Is that available in india @cocacola 🤔|WHERE IS ENNER VALENCIA?|@cocacola_il צריך להביא את זה לארץ|Please launch in india @cocacola @cocacola_india 😭🙏🏿|Oʻzbeklar yoʻq joyni topdim😂|Será vrd bueno ps pongamos a prueba|Eu ja tenho todas|Marca: 🫆🫆🫆📖⚽⚽⚽⚽🎣🎤🎧🎸🎺🪈🎗️🥇🥈🥉🏅🎖️🏆🎀🎁🎁🎁🎁🎁🫆💯🎉💯|@cocacola_az|Marca: Salmos 91: 1 Aquele que habita no esconderijo do altíssimo a sobra do onipoten🎊te descansará:. 👏🫯🫯🫯🫯|I was in this video wearing the new Argentina jersey 🇦🇷❤️‍🔥🔥|Please tell me this is in india|Want this in india 🇮🇳@cocacola_india|@cocacola_india what is this behaviour man ?|Is it in Austria?|Will it be in India???|Coca Cola ❌ sola zola ✅ 😂|Cuando las venden en argentina?|En todos los países ?|Will be available in Saudi Arabia?|@cocacola_uzbekistan|@_hritam__10_ @sarkardipanjan_ @aka.shhhhhhh_04|https://www.coca-colacompany.com/media-center/coca-cola-and-panini-launch-fifa-world-cup-sticker-bottles-in-north-america|علاش كي عملو امريكا ماوراوش باينا اهم انجازات جيفري ابستين وماكدونلز🤨|Also in Bangladesh??|Which country is this👏🔥|We want it in Algeria, but it has the players' signatures on it."
ins_005,Instagram,CocaCola,2872,83,#FIFAWorldCup|#TrophyTour,"Vancouver, see you there 🤝|A legendary flight for us 💙⚽️🏆🌎|Can’t wait to see the Trophy in Ottawa on May 24th!⚽️🏆|What a legend🏆🔥🔥🔥🔥🔥|Vamos 🔥🙌|World Cup 🏆…🤳🏻|This is fireeeeeee 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥|@eva_pais_ss10|Now Blackwelll (B200) and Vera Rubin still in process but Next Linore v1 AI Hybrid HBM4 512 GB, Fiber Optics (CPO) Interconnection and Zero Waste Energy. Visualizing the Vision: Maison Linoré v1. ⚡ This is what 300,000 Racks Global Supercomputing looks like. Silicon Photonics meet Liquid-Cooled Optics. We are moving data at the speed of light to ensure true AI Sovereignty. The Future is here. Who’s ready to build the Global Alliance? 🌍 ""Unseen Before"" is now Visible. Behind the 512GB HBM4 and GPU+ASIC-LLM Engine lies the architecture of the Light Economy. This is Linoré v1. 🚀 Looking for Tier-1 Global Distributors, AI and User Ends as patners to bring this power to your region. #LightEconomy #HybridAI #FutureInnovation #Sustainability #MaisonLinore #TechLeadership|No tickets available and some people are selling tickets for $150 LOL|The 2026 World Cup will be the biggest edition in history, but to be part of it, you need to know exactly where you’re going.. 🇲🇽🇨🇦🇺🇸 I’ve gathered all the secrets and essential info you’ll need in one 145-page guide! ⚽️ ​Everything is ready for you. Link in Bio! 🔗🔥""#WorldCup2026 #FIFA2026 #كأس_العالم_2026 #SmaestroVision #TravelGuide|Listen to my song 🔥|Why you not put Ronaldo photo in cocacola|Sent you a dm 🙌⚽️✨|Never going to buy Coca Cola again 💔❌❌🐶|“Would love to bring a live fan challenge to your World Cup activations 👀”|We are legitimate businesses. And in this industry it's not a surprise that we may have to deal with racism. We may feel like we're in types of competition. But in those times we must remember to take our time when making decisions. Not just for ourselves but for those around us. Slow and steady wins the race! We live in a fast paced economy. It is our job to slow things down to help people make the RIGHT decision. Just the ability to take our time and allow others to take theirs is a symbol of professionalism. There are too many people in this world being forced to make the wrong decisions because they didn't have enough time to think about what they were doing. That is racism. We must always remember that slow and steady wins the race. To build a more formidable economy for ourselves and those after us.  Best wishes.|golden bubbles  mmm|I attended the FIFA World Cup Trophy Tour in Vancouver and didn’t receive my photo. Can you help me retrieve it?|E o Rodrigo????|O senhores ricos por educação por retirar as comidas desses pobres abusado do Brasil,os senhores ricos n são obrigados a sustentar os pobres intrupador cruel|This is epic!!🔥|Tento passar dessa conta de números de seguidores.. mas não dá!!, me ajuda aí @cocacolafutbol|Hi Coca Cola Give me 🥹 Coca Cola my Contry Uzbekistan please 🙏🏻 🥹🥹|Legend🔥🔥|Can’t add Canadian zip code. How to register from Canada?|@cocacola I have a new theme song for you|E o Rodrigo??????|Did anyone even get a ticket? For Winnipeg|E o Rodrigo de Itabirito?|drink coke™|Wow🔥|@eva_pais_ss10|Patrocina a @eva_pais_ss10|👌🏽Confidence is the key – on the pitch and in business! 🏆⚽️ Fabio Cannavaro showed us in 2006 that true leadership and confidence lead to the trophy. We at #Eaglepowergmbh bring that same winning mindset to the recruitment world. Whether it’s in Industry, Healthcare, or Gastronomy, we provide the confident talent that companies need to win their 'matches' every day. Behind every great event like this Trophy Tour, there’s a powerhouse team in the Commercial and Hospitality sectors making it happen. We deliver the manpower to turn goals into reality! 🦅🚀 #Eaglepowergmbh #FIFAWorldCup #TrophyTour #Confidence #TeamPower #Personalvermittlung #Zeitarbeit“|Can I have a cola free pls👏"
